order_no,customer_id,product_name,quantity
678126313,942,Riser_board,60
854154698,800,SPS,11
666804606,811,IrDA,64
706711359,305,Flex,97
753574041,885,Jumpers,76
527336447,929,ISA,81
562592112,893,CD-ROM,49
522263432,790,Video_card,68
813238745,673,Parallel_port,62
547413939,439,MCA,49
764958369,868,Tape_drive,22
759779190,416,Monitor,31
715055822,114,LCD,41
509955992,903,AGP,84
735294469,696,AT/DIN5,38
812038193,43,COM_port,47
884954471,670,APM,64
726852817,176,Flex,7
739829334,620,RAM,18
614742707,433,Batteries,83
530682699,393,Serial_port,69
852263688,958,CMOS,5
896017371,231,Serial_port,78
877288295,956,Tape_drivers,54
583609713,608,Network_card,34
723606403,548,IDE,38
687339732,455,Hard_drive,48
740005942,515,Heat_sink,94
563413243,374,EIDE,1
865899746,303,Riser_board,17
531375108,646,Printer,25
901168328,727,IrDA,80
843343229,154,NICad_batteries,73
779779955,693,DVD,48
828168523,484,Speakers,68
891606343,767,Riser_board,8
833249448,546,Batteries,91
618851965,235,IrDA,45
903137763,548,NiMH_batteries,83
585848906,300,Printer,56
634094796,537,Processor,93
679715091,483,Jumpers,33
624202526,809,PCMCIA_and_PC_Card,19
768626555,825,Modem_drivers,37
680020735,926,Motherboard,48
652048976,503,COM_port,2
625133243,65,PDA,9
755348261,462,IRQs,93
832517847,553,Case,91
687680830,594,LCD,19
673254746,933,NiMH_batteries,54
725494011,669,Motherboard,21
671518251,982,NiMH_batteries,53
703746540,747,Intel_OverDrive_processor,19
640878480,916,Power_supply,11
577801193,421,Infrared_port,63
617196106,754,PDA,69
779323979,32,LCD,78
649016586,401,Tape_drivers,2
554952039,310,CMOS,63
686654213,548,CD-RW,7
739415428,247,Chassis,18
640901030,759,SCSI,22
675837456,845,Flex,70
604885173,242,Tape_drive,56
765799989,380,AT/DIN5,63
726936942,463,Memory,85
624000168,530,Microphone,95
707637231,917,APM,31
903962866,485,Video_card,14
682662613,558,Modem_drivers,52
604898815,853,IDE,72
611036882,445,Video_card,48
602549140,181,CD-RW,12
671228144,889,NiMH_batteries,43
523342124,413,PDA,5
604483405,777,LCD,40
881501072,702,Tape_drive,13
738688625,708,CD-RW,95
760512482,638,APM,82
646232168,717,EISA,75
549236838,603,Video_drivers,8
564463697,427,IrDA,98
851904002,825,Modem,86
891165368,136,Memory,84
608574878,933,Video_card,81
743645144,110,IRQs,55
528237336,819,Tape_drive,11
847499334,525,Palm_Pilot,18
577715684,810,Tape_drive,71
617781680,508,Splitter,63
636337440,77,Modem_drivers,36
666792082,294,Motherboard,15
760517409,620,Parallel_port,14
609884206,981,Power_supply,4
569777769,963,Headset,35
646245946,129,Splitter,1
899407616,213,Tape_drive,16
540521777,80,Power_supply,99
568227329,172,CD-R,35
851356397,787,IRQs,59
578960746,656,IrDA,13
731928930,52,Tape_drivers,26
880412850,633,AT/DIN5,49
858099785,213,Power_supply,25
841050739,501,Power_management,40
778082825,893,RAID,90
590454578,238,Surge_suppressor,33
727631345,227,CD-R,33
707716560,133,DVD,40
639101953,614,Interposer,56
611342195,447,IRQs,15
819277069,892,CPU,28
643215739,162,CD-ROM,83
777364959,260,PDA,65
832490779,828,Video_drivers,22
896129443,169,USB,18
672506720,347,PS/2,22
643787293,251,IRQs,17
559220005,388,Tape_drivers,55
517931264,140,UPS,56
827023296,502,Surge_suppressor,1
515813906,24,AGP,8
538969077,340,Headset,2
895081909,121,RAM,64
549763356,39,Batteries,74
752264799,286,Parallel_port,53
852589310,650,Motherboard,60
832037139,760,IRQs,30
577023810,447,Chassis,27
821622265,885,Tape_drive,3
828892894,68,Network_card,42
659910490,472,Modem_drivers,96
595133930,365,Video_drivers,73
639345961,869,CD-RW,75
537073132,651,Splitter,90
589619385,452,Printer,64
802990373,799,EISA,69
670001627,347,Printer,27
651823333,910,SPS,47
754397951,172,UPS,66
