order_no,customer_id,product_name,quantity
870573075,101010643,Processor,16
659079531,101010361,CD-ROM,38
775780140,101010969,CPU,91
772286698,101010172,Intel_Pentium_processor,71
629407042,101010470,Joystick,48
638990801,101010362,Microphone,36
792002307,101011056,CMOS,27
763540028,101011010,Network_card,69
767152222,101010399,Hard_drive,86
551697005,101010819,Scanner,16
807336125,101011026,RAM,16
703762496,101010408,SCSI,80
707724279,101010739,CMOS,27
799521892,101010928,Monitor,62
697424739,101011055,USB,92
610598669,101010805,Microphone,16
745521658,101010603,Headset,69
613610108,101010201,Modem,56
814369765,101010379,Modem_drivers,40
650074101,101010695,PDA,43
832034784,101010770,Tape_drivers,73
551363457,101010723,Keyboard,97
628009436,101011009,BIOS,63
723393085,101010423,Video_card,92
628483009,101010327,IDE,88
569637151,101010330,Floppy_drive,56
778871485,101010159,Printer,99
796831599,101011059,RAID,35
771855769,101010649,NICad_batteries,59
811477510,101010197,Tape_drivers,65
506834395,101010695,Heat_sink,6
813966282,101010131,Infrared_port,96
549222870,101010773,DVD,68
644296055,101010687,Modem_drivers,33
660349855,101010309,Tape_drivers,57
711906306,101010877,Headset,1
662801700,101010784,Parallel_port,91
659839752,101010736,Infrared_port,99
650834544,101010866,Modem,37
754762344,101010146,Palm_Pilot,13
771834665,101010375,Monitor,17
809062766,101010568,Hard_drive,39
521940735,101010878,Headset,61
759001740,101010482,IRQs,6
518998669,101010807,EIDE,47
856822715,101010388,Chassis,96
840627405,101010646,RAM,42
883274597,101010990,MCA,28
871487976,101010458,Power_supply,70
506089318,101010657,Tape_drive,38
818059910,101010907,Memory,78
594043231,101011089,Batteries,35
574455368,101010327,CPU,94
867399684,101010613,Palm_Pilot,83
615861045,101010739,Video_card,48
809234201,101010229,Joystick,31
593709027,101010350,Video_drivers,78
583223776,101010685,Monitor,32
900006973,101010164,APM,41
679135655,101010980,ISA,26
777391899,101010172,Printer,96
589857141,101010228,Joystick,98
714310849,101011046,Batteries,51
658877981,101010326,Case,49
508555903,101011099,Hard_drive,17
801001239,101010112,Motherboard,61
862354568,101010576,Monitor,1
894247448,101011051,LCD,38
880227900,101010123,Batteries,45
777360368,101010491,Tape_drive,14
643693143,101010624,Palm_Pilot,62
770214556,101010296,PCI,83
584778663,101010737,NiMH_batteries,25
898775727,101010807,AT/DIN5,81
636682623,101010454,Power_management,58
863317421,101010145,Network_card,90
562585343,101010881,Mouse,57
662702024,101010512,DVD,48
658288246,101010597,LCD,18
792328573,101010988,EISA,6
584515254,101010975,Processor,1
845371439,101010369,Power_management,46
569728354,101010906,Surge_suppressor,86
653507952,101010271,Palm_Pilot,57
778685549,101010468,Power_management,18
760380622,101010692,Mouse,81
800170930,101011003,SCSI,38
549914581,101010880,Power_supply,4
890379992,101010223,CPU,44
533742097,101010903,Mouse,100
836033420,101010880,BIOS,32
892052921,101010585,RAM,36
756842268,101010629,IrDA,60
510218309,101011080,Microphone,79
563927881,101011031,Power_management,77
551521202,101010578,Heat_sink,33
702189659,101010820,RAID,1
867463151,101010132,UPS,50
636152553,101011079,LCD,16
834815370,101010859,Intel_OverDrive_processor,75
872608739,101010308,Headset,72
848490971,101011052,Flex,68
541328672,101010251,Tape_drivers,24
572487422,101010390,Hard_drive,54
798929743,101010857,EISA,81
754335408,101010605,Monitor,76
801518838,101010907,PCI,88
541241718,101010595,Keyboard,7
